stg,sys,system,series,stage,short,bottom,mid,top,dur,systemCol,seriesCol,col,t2d,t2u,t3,tPart,tGFd,tGFu,tSing,tOri,tExt,tThrough,divSIB,divCSIB,divRT,divBC,extProp,oriProp,extPC,oriPC,ext3t,ori3t,extC3t,oriC3t,extGF,oriGF,E2f3,O2f3,ext2f3,ori2f3,samp3t,sampRange,diet,mass_extinction,food_mass_extinction,me_no_perm
80,K,Cretaceous,Upper Cretaceous,Campanian,Cam,83.65,77.91,72.17,11.48,#95c562,#b9d25d,#efec9b,245,365,160,6,18,14,65,147,109,384,593,485.878185947101,705,493,0.246808510638298,0.300709219858156,0.249866621454963,0.324119468654212,0.4260843953109,0.824723538348665,0.302851754886952,0.595656968731333,0.332496088241573,0.70126630499845,0.282868525896414,0.501347708894879,0.332496088241573,0.69584623752911,0.963855421686747,0.708333333333333,Carnivore,FALSE,FALSE,FALSE
81,K,Cretaceous,Upper Cretaceous,Maastrichtian,Maa,72.17,69.105,66.04,6.13,#95c562,#b9d25d,#f5f1a7,365,174,122,16,12,46,88,73,216,315,564,503.828768893191,692,531,0.439306358381503,0.232658959537572,0.522189382416306,0.20843270079764,1.09587630884923,0.355034254481273,0.797656731094668,0.318220281358556,0.727863617517715,0.23638877806423,0.517060367454068,0.2,0.727863617517715,0.22314355131421,0.884057971014493,0.593650793650794,Carnivore,TRUE,TRUE,TRUE
82,Pg,Paleogene,Paleocene,Danian,Dan,66.04,63.85,61.66,4.38,#f8ac70,#f8b77d,#fbc27f,174,272,118,41,26,30,39,189,34,354,440,468.222625737535,616,388,0.118506493506494,0.37012987012987,0.091708426489499,0.427812406800161,0.388370674748864,0.835117441830333,0.204066956750918,0.711884801406384,0.128891013068021,0.525847365461828,0.12093023255814,0.408945686900958,0.12889101306802,0.525847365461828,0.742138364779874,0.502824858757062,Carnivore,FALSE,FALSE,FALSE
83,Pg,Paleogene,Paleocene,Selandian-Thanetian,Se-Th,61.66,58.83,56,5.66,#f8ac70,#f8b77d,#fccb87,272,274,168,34,43,50,44,149,60,483,531,504.221327430251,736,543,0.141304347826087,0.262228260869565,0.117092666281363,0.268872740494285,0.481838086892738,0.489164126984811,0.215817511222137,0.190944549230244,0.194156014440957,0.228841572428847,0.176470588235294,0.191558441558442,0.194156014440958,0.212646886508867,0.831683168316832,0.575569358178054,Carnivore,FALSE,FALSE,FALSE
84,Pg,Paleogene,Eocene,Ypresian,Ypr,56,52.035,48.07,7.93,#f8ac70,#fac18a,#f7ba8e,274,376,210,64,39,58,218,205,41,591,772,795.487154434309,1055,632,0.245497630331754,0.400947867298578,0.0670733767407592,0.297783168438285,0.266020575670602,0.582481612672426,0.062311518585045,0.39817789467448,0.0179109265665302,0.340571536372154,0.0177514792899408,0.256818181818182,0.0179109265665302,0.296814556015053,0.766423357664234,0.521150592216582,Carnivore,FALSE,FALSE,FALSE
85,Pg,Paleogene,Eocene,Lutetian,Lut,48.07,44.55,41.03,7.04,#f8ac70,#fac18a,#f9c39f,376,374,239,54,71,89,124,175,75,721,774,749.368239961457,1095,796,0.181735159817352,0.273059360730594,0.0989600485594339,0.217301275689981,0.453125591458384,0.447792245483021,0.110557464527833,0.18177166981242,0.118364600081033,0.161969327945056,0.111627906976744,0.149532710280374,0.118364600081033,0.161969327945056,0.815699658703072,0.554785020804438,Carnivore,FALSE,FALSE,FALSE
86,Pg,Paleogene,Eocene,Bartonian,Brt,41.03,39.37,37.71,3.32,#f8ac70,#fac18a,#fcceac,374,366,257,105,57,46,51,99,95,801,632,703.035293897506,1046,896,0.139579349904398,0.1434034416826,0.112079465906571,0.116533816255952,0.375179712519312,0.353557248506147,0.194551636231691,0.14984819142059,0.160433423006754,0.11698717409428,0.0292275574112735,0.0764331210191083,0.0296631918235589,0.0795120629277336,0.709944751381215,0.48314606741573,Carnivore,FALSE,FALSE,FALSE
87,Pg,Paleogene,Eocene,Priabonian,Prb,37.71,35.805,33.9,3.81,#f8ac70,#fac18a,#fcd7ba,366,279,197,39,48,55,94,105,149,751,743,702.941515193844,1099,900,0.221110100090992,0.181073703366697,0.180989111560176,0.130864724377607,0.619429604663378,0.348008053083377,0.27392796132277,0.00543992615282585,0.330563799935047,0.113077144618971,0.281481481481481,0.106918238993711,0.330563799935047,0.113077144618971,0.834745762711864,0.525965379494008,Carnivore,FALSE,FALSE,FALSE
88,Pg,Paleogene,Oligocene,Rupelian,Rup,33.9,30.595,27.29,6.61,#f8ac70,#fdcb98,#fedfb3,279,280,189,78,43,108,74,118,60,796,575,641.507745675525,1048,856,0.127862595419847,0.183206106870229,0.072671190297359,0.138231385609767,0.389464766761723,0.393042588109607,0.00737300983886774,0.212414511821986,-0.0491902441907718,0.143960688921508,0,0.0698324022346369,0,0.0723904964202565,0.707865168539326,0.405778894472362,Carnivore,FALSE,FALSE,FALSE
89,Pg,Paleogene,Oligocene,Chattian,Cht,27.29,25.165,23.04,4.25,#f8ac70,#fdcb98,#ffeac3,280,326,202,94,113,65,69,83,63,851,572,661.943577846964,1066,914,0.123827392120075,0.142589118198874,0.0714184428807758,0.0930643096554685,0.326521905768045,0.478629683965503,0.101919564990175,0.133128040624896,0.0353778390816511,0.0265395552346123,0.0347593582887701,0.0261904761904762,0.0353778390816511,0.0265395552346123,0.682432432432432,0.419506462984724,Carnivore,FALSE,FALSE,FALSE
