stg,sys,system,series,stage,short,bottom,mid,top,dur,systemCol,seriesCol,col,t2d,t2u,t3,tPart,tGFd,tGFu,tSing,tOri,tExt,tThrough,divSIB,divCSIB,divRT,divBC,extProp,oriProp,extPC,oriPC,ext3t,ori3t,extC3t,oriC3t,extGF,oriGF,E2f3,O2f3,ext2f3,ori2f3,samp3t,sampRange,diet,mass_extinction,food_mass_extinction
91,Ng,Neogene,Miocene,Middle Miocene,Mmi,15.99,13.81,11.63,4.36,#fede1a,#ffed02,#fef26b,1646,1687,1238,292,145,289,328,341,390,2916,2858,2780.54634348127,3975,3306,0.18062893081761,0.168301886792453,0.125526185252421,0.110593712147685,0.284850927992474,0.309454629301427,0.043241493917257,0.126937931517488,0.0633696139325892,0.166778501343399,0.0614035087719298,0.0798383021728146,0.0633696139325892,0.0832058658749578,0.809150326797386,0.616941015089163,Both,FALSE,FALSE
92,Ng,Neogene,Miocene,Upper Miocene,Umi,11.63,8.48,5.33,6.3,#fede1a,#ffed02,#fef488,1687,1800,1277,349,296,193,361,311,543,2714,2933,2939.94248503739,3929,3257,0.230083990837363,0.171035886994146,0.182382964881419,0.108487530070127,0.278438226513429,0.343273087851717,0.125058854090395,0.131502526709777,0.112700199152291,0.111636307112273,0.0613948919449902,0.0777105630525826,0.0633604334301403,0.0808961817525772,0.785362853628536,0.633014001473839,Both,FALSE,FALSE
93,Ng,Neogene,Pliocene,Pliocene,Pli,5.33,3.96,2.59,2.74,#fede1a,#fff7b2,#fff7b2,1800,1822,1297,215,257,27,342,234,861,2164,3065,2812.8036776786,3601,3025,0.334073868369897,0.159955567897806,0.33495273049857,0.102676695621087,0.327732759567812,0.33988089350346,0.231965854475804,0.0982714594282431,0.269486340541904,0.141063722067021,0.154838709677419,0.120765832106038,0.168227793718095,0.128704014166094,0.857804232804233,0.752310536044362,Both,FALSE,FALSE
94,,Quarternary,Pleistocene,Pleistocene,Ple,2.59,1.30085,0.0117,2.5783,#fff69b,#fff2c5,#fff2c5,1822,497,398,40,51,NA,379,36,1845,553,2721,2357.31004865764,2813,2398,0.790615001777462,0.147529328119445,1.46703233406512,0.0630681821292519,1.52123807253547,0.222138020812191,NA,0.0687586483891566,NA,0.0936356050339927,NA,0.0651769087523277,NA,0.0673979748171354,0.908675799086758,0.833634719710669,Both,FALSE,FALSE
95,,Quarternary,Holocene,Holocene,Hol,0.0117,0.00585,0,0.0117,#fff69b,#fff5eb,#fff5eb,497,NA,NA,NA,NA,NA,77,NA,589,NA,666,NA,666,589,1,0.115615615615616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,FALSE,FALSE
1,E,Ediacaran,Upper Ediacaran,Avalon Assemblage,Ava,580,570,560,20,#fddd88,#fddd88,#fcd589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carnivore,FALSE,FALSE
2,E,Ediacaran,Upper Ediacaran,White Sea Assemblage,Whs,560,555,550,10,#fddd88,#fddd88,#fdd587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carnivore,FALSE,FALSE
3,E,Ediacaran,Upper Ediacaran,Nama Assemblage,Nam,550,544.4,538.8,11.2,#fddd88,#fddd88,#fed583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carnivore,FALSE,FALSE
4,Cm,Cambrian,Terreneuvian,Fortunian,For,538.8,533.9,529,9.8,#94ac72,#9db989,#a9be93,NA,6,NA,NA,NA,NA,0,7,NA,NA,7,NA,7,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carnivore,FALSE,FALSE
5,Cm,Cambrian,Terreneuvian,Stage 2,St2,529,525,521,8,#94ac72,#9db989,#b6c29e,6,7,4,1,NA,0,0,3,2,5,9,8.84158477422565,10,7,0.2,0.3,0.336472236621213,0.470003629245736,0.405465108108164,0.559615787935423,0.405465108108164,NA,0.336472236621213,NA,0.142857142857143,NA,0.154150679827258,NA,0.8,0.8,Carnivore,FALSE,FALSE
6,Cm,Cambrian,Series 2,Stage 3,St3,521,517.75,514.5,6.5,#94ac72,#a9c595,#b5ca9f,7,23,3,0,0,0,44,27,5,3,79,62.087573081229,79,8,0.620253164556962,0.89873417721519,0.980829253011726,2.30258509299405,0.847297860387204,2.03688192726104,0.441832752279039,1.81373837594683,0.847297860387204,2.03688192726104,0.571428571428571,0.869565217391304,0.847297860387203,2.03688192726104,1,1,Carnivore,FALSE,FALSE
7,Cm,Cambrian,Series 2,Stage 4,St4,514.5,511.75,509,5.5,#94ac72,#a9c595,#c0ceaa,23,67,8,4,0,2,60,63,13,17,146,172.116183604926,153,30,0.477124183006536,0.803921568627451,0.567984037605939,1.54881329061767,1.05605267424931,2.12525107771113,0.950692158591487,2.12525107771113,0.65677953638907,1.77777322725332,0.37037037037037,0.774647887323944,0.462623521948113,1.49009115480153,0.666666666666667,0.588235294117647,Carnivore,FALSE,FALSE
8,Cm,Cambrian,Maolingian,Wulian,Wul,509,506.75,504.5,4.5,#94ac72,#b6d2a2,#c1d6af,67,66,18,2,1,3,134,64,53,27,269,234.902351038686,278,80,0.672661870503597,0.712230215827338,1.08618976866955,1.21502264051252,1.3143208614948,1.29928298413026,0.879002790236956,0.893817876022097,1.09861228866811,1.17498526745268,0.666666666666667,0.691176470588235,1.09861228866811,1.17498526745268,0.9,0.666666666666667,Carnivore,FALSE,FALSE
9,Cm,Cambrian,Maolingian,Drumian,Dru,504.5,502.5,500.5,4,#94ac72,#b6d2a2,#cddbb8,66,71,22,12,3,4,48,50,40,51,167,202.838457971932,189,91,0.465608465608466,0.518518518518518,0.579033873792524,0.683294884116934,1.09861228866811,1.171637423683,0.862223510603879,1.06627690802517,0.719122666963206,0.807922695152374,0.371794871794872,0.44578313253012,0.464888528578965,0.590199211307503,0.647058823529412,0.568627450980392,Carnivore,FALSE,FALSE
10,Cm,Cambrian,Maolingian,Guzhangian,Guz,500.5,498.75,497,3.5,#94ac72,#b6d2a2,#d6e1c1,71,66,15,4,1,4,97,74,64,37,258,256.838213708173,272,101,0.591911764705882,0.628676470588235,1.00420260419704,1.09861228866811,1.55462967593911,1.48160454092422,1.10264455219605,1.04628646966637,1.18199389760716,1.25276296849537,0.693333333333333,0.714285714285714,1.18199389760716,1.25276296849537,0.789473684210526,0.621621621621622,Carnivore,FALSE,FALSE
11,Cm,Cambrian,Furongian,Paibian,Pai,497,495.6,494.2,2.8,#94ac72,#c2ddb0,#d8e8c4,66,80,28,16,4,15,35,61,36,75,167,206.247507685746,207,111,0.342995169082126,0.463768115942029,0.392042087776024,0.595166772199741,0.857450231851222,1.04982212449868,0.362753990015115,0.813433346434447,0.329181803358534,0.693147180559945,0.280487804878049,0.375,0.329181803358534,0.470003629245736,0.636363636363636,0.466666666666667,Carnivore,FALSE,FALSE
12,Cm,Cambrian,Furongian,Jiangshanian,Jia,494.2,492.6,491,3.2,#94ac72,#c2ddb0,#e4efcf,80,86,25,16,23,1,78,55,62,74,234,301.604139818385,269,136,0.520446096654275,0.494423791821561,0.608589792531882,0.555747311157502,1.16315080980568,1.23547147138531,0.984902578399362,0.78348634764225,0.826678573184468,0.466089729924599,0.447916666666667,0.362745098039216,0.594056277915715,0.450585543388634,0.609756097560976,0.527027027027027,Carnivore,FALSE,FALSE
13,Cm,Cambrian,Furongian,Stages 10,St10,491,488.925,486.85,4.15,#94ac72,#c2ddb0,#edf2db,86,112,41,8,5,0,65,63,64,65,244,229.18154484692,257,129,0.501945525291829,0.498054474708171,0.685425134466035,0.67764299402398,0.7407752295492,1.00492680459079,0.663814188413072,0.51023056275468,0.651474484159377,0.798507696217772,0.414893617021277,0.491666666666667,0.535961597037533,0.676617878608735,0.836734693877551,0.8,Carnivore,FALSE,FALSE
14,O,Ordovician,Lower Ordovician,Tremadocian,Tre,486.85,481.965,477.08,9.77,#009881,#00a180,#0dac98,112,160,25,2,2,3,124,162,88,40,409,347.155984575196,414,128,0.51207729468599,0.690821256038647,1.16315080980568,1.61938824328727,1.49962304642689,1.85629799036563,1.3270103037599,1.67804975895931,1.33500106673234,1.72030050524591,0.736842105263158,0.808641975308642,1.33500106673234,1.65360913074724,0.925925925925926,0.875,Carnivore,FALSE,FALSE
15,O,Ordovician,Lower Ordovician,Floian,Flo,477.08,474.17,471.26,5.82,#009881,#00a180,#0eb1a0,160,117,69,13,2,31,88,82,73,129,333,311.018761797109,372,202,0.432795698924731,0.456989247311828,0.448455293039533,0.492045729114394,0.841067310636568,0.528067430200497,0.449588444503143,0.451106389064368,0.425903775785438,0.436717651612269,0.346820809248555,0.276923076923077,0.425903775785438,0.324239668185579,0.841463414634146,0.697674418604651,Carnivore,FALSE,FALSE
16,O,Ordovician,Middle Ordovician,Dapingian,Dap,471.26,470.34,469.42,1.84,#009881,#34b597,#67c0ae,117,176,96,46,26,8,19,76,19,192,225,261.563549570842,306,211,0.124183006535948,0.310457516339869,0.094362761448285,0.333491608483075,0.19782574332992,0.606135803570315,0.12744494656812,0.433523060903322,0.0831149067105066,0.27871340246902,0,0.175675675675676,0,0.193191229030859,0.676056338028169,0.578125,Carnivore,FALSE,FALSE
17,O,Ordovician,Middle Ordovician,Darriwilian,Dar,469.42,463.8,458.18,11.24,#009881,#34b597,#79c5b8,176,283,96,7,17,16,128,208,111,157,576,485.697723597462,604,268,0.395695364238411,0.556291390728477,0.534741175162549,0.843651548234183,0.606135803570315,1.0810987061754,0.414867460786555,0.689619840041977,0.430362659729892,0.882389180198474,0.349726775956284,0.586206896551724,0.430362659729891,0.882389180198474,0.932038834951456,0.821656050955414,Carnivore,FALSE,FALSE
18,O,Ordovician,Upper Ordovician,Sandbian,Sbd,458.18,455.465,452.75,5.43,#009881,#8ccbae,#9bceaf,283,277,204,43,8,3,43,72,76,289,413,393.001701265156,480,365,0.247916666666667,0.239583333333333,0.233470665470059,0.222451270220449,0.327326903799021,0.305897512343122,0.294174696482121,0.235516715581323,0.265436463504461,0.227057450635346,0.128834355828221,0.11875,0.137923143205502,0.126413924855659,0.825910931174089,0.768166089965398,Carnivore,FALSE,FALSE
19,O,Ordovician,Upper Ordovician,Katian,Kat,452.75,448.98,445.21,7.54,#009881,#8ccbae,#a6d5c3,277,129,89,3,9,14,95,58,190,171,482,391.581758030724,514,361,0.554474708171206,0.297665369649805,0.747214401830221,0.29205844705158,1.1353811364552,0.371176034629532,0.793094929968566,0.179907691845771,0.971350509057182,0.267681405745111,0.621428571428571,0.234848484848485,0.971350509057183,0.267681405745111,0.967391304347826,0.812865497076023,Carnivore,TRUE,TRUE
20,O,Ordovician,Upper Ordovician,Hirnantian,Hir,445.21,444.14,443.07,2.14,#009881,#8ccbae,#b6d9c3,129,54,49,20,3,28,8,11,54,175,151,167.111966916385,248,229,0.25,0.0766129032258065,0.268936029630726,0.0609606997896871,0.967992106251045,0.0971637484536477,0.583580407340713,0.0640115411367472,0.429235327442076,0.0273989741881143,0.348993288590604,0,0.429235327442076,0,0.710144927536232,0.445714285714286,Carnivore,FALSE,FALSE
21,S,Silurian,Llandovery,Rhuddanian,Rhu,443.07,441.78,440.49,2.58,#bfe0cd,#8ccbae,#b3dccc,54,58,32,15,30,13,5,15,14,172,99,114.277483206867,206,186,0.0922330097087379,0.0970873786407767,0.0782521968997483,0.0836141400411336,0.523248143764548,0.594707107746693,0.324397285019383,0.25242090126006,0.139761942375159,-0.0533459807052927,0.130434782608696,0,0.139761942375159,0,0.680851063829787,0.377906976744186,Carnivore,FALSE,FALSE
22,S,Silurian,Llandovery,Aeronian,Aer,440.49,439.54,438.59,1.9,#bfe0cd,#8ccbae,#c1e1d6,58,93,50,11,15,9,10,29,11,176,131,125.605518099266,226,187,0.0929203539823009,0.172566371681416,0.0606246218164349,0.152525984100256,0.148420005118273,0.62057648772511,-0.0339015516756814,0.236164788814778,-0.0143887374520996,0.313657558855042,-0.0144927536231884,0.269230769230769,-0.0143887374520997,0.313657558855041,0.819672131147541,0.460227272727273,Carnivore,FALSE,FALSE
23,S,Silurian,Llandovery,Telychian,Tel,438.59,435.76,432.93,5.66,#bfe0cd,#8ccbae,#cae8e0,93,84,55,11,10,5,51,30,36,169,206,194.279089438985,286,205,0.304195804195804,0.283216783216783,0.193111264215335,0.163406109801419,0.525266307920785,0.423483613610843,0.306577106955956,0.224632754865678,0.381711022100057,0.22314355131421,0.307692307692308,0.178947368421053,0.367724780125317,0.197168064910949,0.833333333333333,0.526627218934911,Carnivore,FALSE,FALSE
24,S,Silurian,Wenlock,Sheinwoodian,She,432.93,431.775,430.62,2.31,#bfe0cd,#c1e1d6,#cce7d8,84,68,45,11,10,23,5,25,40,159,145,141.814653563876,229,199,0.196506550218341,0.131004366812227,0.224400622504261,0.146031555388754,0.624154309072994,0.412845215405787,0.22685251160399,0.230523658611832,0.184429039133519,0.179793110440596,0.168421052631579,0.0886075949367089,0.184429039133519,0.0927817334509663,0.803571428571429,0.471698113207547,Carnivore,FALSE,FALSE
25,S,Silurian,Wenlock,Homerian,Hom,430.62,428.68,426.74,3.88,#bfe0cd,#c1e1d6,#d6ebe2,68,48,41,20,14,12,11,5,29,155,103,120.437240404249,200,184,0.2,0.08,0.171510640689739,0.0317486983145803,0.505935638471799,0.157628944203583,0.241243084244717,-0.0610602567612464,0.186877373329815,-0.0979804083602038,0.170454545454545,-0.0588235294117647,0.186877373329815,-0.0571584138399486,0.672131147540984,0.374193548387097,Carnivore,FALSE,FALSE
26,S,Silurian,Ludlow,Gorstian,Gor,426.74,425.875,425.01,1.73,#bfe0cd,#cce7e2,#d6ecea,48,71,33,10,21,4,4,16,14,146,104,106.503884472288,180,160,0.1,0.111111111111111,0.0915671935254905,0.103989713524048,0.374693449441411,0.766172315574835,0.180537435000453,0.368870518105832,0.210295408836361,0.235566071312767,0.137931034482759,0.209876543209877,0.148420005118273,0.235566071312767,0.767441860465116,0.479452054794521,Carnivore,FALSE,FALSE
27,S,Silurian,Ludlow,Ludfordian,Lud,425.01,423.87,422.73,2.28,#bfe0cd,#cce7e2,#e2f1ec,71,69,42,9,7,11,15,21,37,125,143,136.469159277096,198,162,0.262626262626263,0.181818181818182,0.259282597930083,0.155292884406035,0.525010258757947,0.496436886313891,0.232023134076473,0.231744332086809,0.25489224962879,0.296265816143172,0.225,0.192307692307692,0.25489224962879,0.213574100298059,0.823529411764706,0.56,Carnivore,FALSE,FALSE
28,S,Silurian,Pridoli,Pridoli,Pri,422.73,420.865,419,3.73,#bfe0cd,#ebf5ec,#ebf5ec,69,58,47,16,9,2,25,6,23,123,118,124.308919549113,177,146,0.271186440677966,0.175141242937853,0.171422266335919,0.0476280489892546,0.383958902887201,0.210295408836361,0.246757781373716,0.0161393943954032,0.268263986594679,0.0273989741881143,0.141176470588235,0,0.152191815341925,0,0.746031746031746,0.520325203252033,Carnivore,FALSE,FALSE
29,D,Devonian,Lower Devonian,Lochkovian,Loc,419,415.7,412.4,6.6,#d49f51,#e9ba6a,#eac378,58,72,34,5,8,12,39,34,23,106,156,140.633207232389,202,129,0.306930693069307,0.361386138613861,0.196373310249605,0.278203328497237,0.534082485930258,0.750305594399894,0.241412871967438,0.45731846971842,0.211309093667207,0.493657820143625,0.19047619047619,0.350649350649351,0.211309093667207,0.431782416425538,0.871794871794872,0.566037735849057,Carnivore,FALSE,FALSE
30,D,Devonian,Lower Devonian,Pragian,Pra,412.4,411.455,410.51,1.89,#d49f51,#e9ba6a,#ebcd87,72,88,50,17,6,3,32,40,21,119,154,162.182171911929,212,140,0.25,0.339622641509434,0.162518929497775,0.289780709108702,0.364643113587909,0.56531380905006,0.225806668733693,0.428112687536575,0.240141127682781,0.363500909009132,0.123595505617978,0.257142857142857,0.131927543042548,0.297251523467932,0.746268656716418,0.512605042016807,Carnivore,FALSE,FALSE
