stg,sys,system,series,stage,short,bottom,mid,top,dur,systemCol,seriesCol,col,t2d,t2u,t3,tPart,tGFd,tGFu,tSing,tOri,tExt,tThrough,divSIB,divCSIB,divRT,divBC,extProp,oriProp,extPC,oriPC,ext3t,ori3t,extC3t,oriC3t,extGF,oriGF,E2f3,O2f3,ext2f3,ori2f3,samp3t,sampRange,diet,mass_extinction,food_mass_extinction
16,O,Ordovician,Middle Ordovician,Dapingian,Dap,471.26,470.34,469.42,1.84,#009881,#34b597,#67c0ae,325,506,259,116,87,22,100,238,66,586,708,806.978359673969,990,652,0.167676767676768,0.341414141414141,0.10672477234964,0.340850740332459,0.2269971206302,0.669708607587928,0.151876490162092,0.45893171191093,0.105108594759656,0.297375201657441,0,0.223472668810289,0,0.252923439086607,0.690666666666667,0.51877133105802,Both,FALSE,FALSE
17,O,Ordovician,Middle Ordovician,Darriwilian,Dar,469.42,463.8,458.18,11.24,#009881,#34b597,#79c5b8,506,872,282,22,62,45,374,625,277,547,1683,1428.25488638095,1823,824,0.35710367526056,0.547997805814591,0.409721727487491,0.762018167714977,0.584629598349352,1.12888235297087,0.415288753028119,0.758784388699993,0.414024361503834,0.893072441772148,0.339015151515151,0.590604026845638,0.414024361503834,0.893072441772148,0.927631578947368,0.744058500914077,Both,FALSE,FALSE
18,O,Ordovician,Upper Ordovician,Sandbian,Sbd,458.18,455.465,452.75,5.43,#009881,#8ccbae,#9bceaf,872,1072,672,124,23,13,196,407,201,971,1534,1430.4289186969,1775,1172,0.223661971830986,0.339718309859155,0.188140501845633,0.350061983282279,0.26053108338583,0.467023001107598,0.214011067750937,0.39190237063949,0.207948340526107,0.378653850657508,0.0923694779116466,0.249163879598662,0.0969178971924218,0.286567866208377,0.844221105527638,0.751802265705458,Both,FALSE,FALSE
19,O,Ordovician,Upper Ordovician,Katian,Kat,452.75,448.98,445.21,7.54,#009881,#8ccbae,#a6d5c3,1072,565,378,18,29,63,449,305,612,766,1988,1639.52065904824,2132,1378,0.49765478424015,0.353658536585366,0.587206281833013,0.335165900707157,1.04238714601116,0.401931535526853,0.680835224992923,0.23259069020562,0.864882765162644,0.316098017426076,0.570642201834862,0.262435677530017,0.845464679305542,0.304401977662884,0.954545454545455,0.81201044386423,Both,TRUE,TRUE
20,O,Ordovician,Upper Ordovician,Hirnantian,Hir,445.21,444.14,443.07,2.14,#009881,#8ccbae,#b6d9c3,565,268,225,98,9,83,50,75,227,844,713,805.761776052393,1196,1071,0.231605351170569,0.104515050167224,0.238195575851792,0.0851336277597299,0.920725328942021,0.174886578306436,0.656910737896883,0.128366562671544,0.49042183058413,0.0974983644848777,0.369532428355958,0,0.461293557661106,0,0.696594427244582,0.427725118483412,Both,FALSE,FALSE
21,S,Silurian,Llandovery,Rhuddanian,Rhu,443.07,441.78,440.49,2.58,#bfe0cd,#8ccbae,#b3dccc,268,279,159,48,86,78,33,114,88,831,527,540.108439757066,1066,919,0.113508442776735,0.137898686679174,0.100656327500239,0.128555132638295,0.522082778290625,0.562307579601134,0.237928046356813,0.200755658582898,0.103253033318261,0.109787561880186,0.0981012658227848,0.103975535168196,0.103253033318261,0.109787561880186,0.768115942028985,0.351383874849579,Both,FALSE,FALSE
22,S,Silurian,Llandovery,Aeronian,Aer,440.49,439.54,438.59,1.9,#bfe0cd,#8ccbae,#c1e1d6,279,377,213,70,79,44,61,141,63,882,585,611.870937198454,1147,945,0.108108108108108,0.176111595466434,0.0689928714869514,0.148302709944835,0.269919616111941,0.570953021738586,0.0902790260712437,0.307138430693448,0.0651117513051737,0.210914382787798,0.0544412607449857,0.190156599552573,0.0559792677419013,0.210914382787798,0.752650176678445,0.36281179138322,Both,FALSE,FALSE
23,S,Silurian,Llandovery,Telychian,Tel,438.59,435.76,432.93,5.66,#bfe0cd,#8ccbae,#cae8e0,377,455,249,49,67,22,156,192,142,881,916,862.997460891738,1371,1023,0.217359591539023,0.25382932166302,0.149437140015447,0.197156116694519,0.414792290983303,0.602844522486243,0.269826520733117,0.31868979055243,0.286118350475598,0.322678914488877,0.211267605633803,0.265873015873016,0.237328186306166,0.309073262433098,0.835570469798658,0.483541430192963,Both,FALSE,FALSE
24,S,Silurian,Wenlock,Sheinwoodian,She,432.93,431.775,430.62,2.31,#bfe0cd,#c1e1d6,#cce7d8,455,382,250,39,33,93,80,145,141,932,836,760.783769478922,1298,1073,0.170261941448382,0.173343605546995,0.140880927945107,0.144601862470797,0.598836501088704,0.423959690744329,0.247756579277342,0.244319100703632,0.257114908581347,0.268081288137973,0.226720647773279,0.194774346793349,0.257114908581347,0.216632726301931,0.865051903114187,0.504291845493562,Both,FALSE,FALSE
25,S,Silurian,Wenlock,Homerian,Hom,430.62,428.68,426.74,3.88,#bfe0cd,#c1e1d6,#d6ebe2,382,290,233,98,56,76,58,72,101,976,589,658.695194137427,1207,1077,0.131731565865783,0.107705053852527,0.0984720907432961,0.071176278467895,0.494382155040875,0.218842469414819,0.23487095955579,0.0738766991646335,0.164972918459342,0.00258064659349171,0.147916666666667,0,0.160070947859135,0,0.70392749244713,0.366803278688525,Both,FALSE,FALSE
